TITULO DEL PROYECTO,MUNICIPIO,FECHA,CATEGORIA,Unnamed: 4,COORDENADAS,LAT,LON,LAT_MUNICIPIO,LON_MUNICIPIO,LAT_GENERADA,LON_GENERADA
DOCUMENTACIÓN PARA LA SOLICITUD DE AUTORIZACIÓN DE ACTIVIDADES POTENCIALMENTE CONTAMINADORAS (APCA) PARA LA CENTRAL DE FABRICACIÓN DE HORMIGÓN PREMEZCLADO EN ARAFO. TENERIFE,ARAFO,2021,MEDIOAMBIENTE,,"28.339565, -16.581129",28.339565,-16.581129,28.412565,-16.508129,28.412565,-16.508129
DOCUMENTACIÓN PARA LA SOLICITUD DE AUTORIZACIÓN DE ACTIVIDADES POTENCIALMENTE CONTAMINADORAS (APCA) PARA LA CENTRAL DE FABRICACIÓN DE HORMIGÓN PREMEZCLADO EN ADEJE. TENERIFE,ADEJE,2021,MEDIOAMBIENTE,,"28.341565, -16.579129",28.341565,-16.579129,28.416315,-16.504379,28.416315,-16.504379
"DOCUMENTACIÓN PARA LA SOLICITUD DE AUTORIZACIÓN DE UNA INSTALACIÓN PARA LA GESTIÓN DE RESIDUOS DE LA CONSTRUCCIÓN (RCD) EN ARCHIPENQUE, ARICO. TENERIFE.",ARICO,2021,MEDIOAMBIENTE,,"28.343565, -16.577129",28.343565,-16.577129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
ACTUALIZACIÓN DEL DOCUMENTO AMBIENTAL PARA LA EVALUACIÓN AMBIENTAL SIMPLIFICADA DEL PROYECTO DE MODERNIZACIÓN Y MEJORA DE LOS REGADÍOS DE LA ZONA NORDESTE DE LANZAROTE.,TEGUISE,2021,MEDIOAMBIENTE,,"29.041000, -13.627000",29.041,-13.627,29.04433333333333,-13.623666666666667,29.04433333333333,-13.623666666666667
SOLICITUD DE INICIO DE LA EVALUACIÓN AMBIENTAL SIMPLIFICADA Y DOCUMENTO AMBIENTAL PARA ESTUDIO DE IMPACTO AMBIENTAL SIMPLIFICADO PROYECTO DE INSTALACIÓN DE UN LABORATORIO FARMACEUTICO INDUSTRIAL EN EL PUERTO DE SANTA CRUZ DE TENERIFE (ZONA ZEC).,SANTA CRUZ DE TENERIFE,2020,MEDIOAMBIENTE,,"28.345565, -16.575129",28.345565,-16.575129,28.583479893617024,-16.33721410638298,28.583479893617024,-16.33721410638298
SOLICITUD DE INICIO DE LA EVALUACIÓN AMBIENTAL SIMPLIFICADA Y DOCUMENTO AMBIENTAL DEL PROYECTO DE INSTALACIÓN DE UN SUMINISTRADOR FÍSICO PARA BUNKERING EN PUERTO DE SANTA CRUZ DE TENERIFE.,SANTA CRUZ DE TENERIFE,2020,MEDIOAMBIENTE,,"28.347565, -16.573129",28.347565,-16.573129,28.583479893617024,-16.33721410638298,28.583479893617024,-16.33721410638298
"ESTUDIO DE IMPACTO AMBIENTAL SIMPLIFICADA PROYECTO DE REHABILITACIÓN DE VIVIENDA PARA TURISMO RURAL. VILLA DE MAZO, LA PALMA.",VILLA DE MAZO,2020,MEDIOAMBIENTE,,"28.672700, -17.860700",28.6727,-17.8607,28.6897,-17.843700000000002,28.6897,-17.843700000000002
INFORME AMBIENTAL/SOLICITUD DE AUTORIZACIÓN DE ACTIVIDAD POTENCIALMENTE CONTAMINADORA DE LA ATMÓSFERA DEL HORNO CREMATORIO EN SAN SEBASTIÁN DE LA GOMERA,SAN SEBASTIAN ,2020,MEDIOAMBIENTE,,"28.122667, -17.210667",28.122667,-17.210667,28.119333666666666,-17.214000333333335,28.119333666666666,-17.214000333333335
"INFORME BOTÁNICO ESPECÍFICO DE LA CETERACH AUREUM (DORADILLA), GEORREFERENCIACIÓN DE EJEMPLARES Y DEFINICIÓN DE MEDIDAS A DESARROLLAR PARA SU PROTECCIÓN Y CONTINUIDAD.",SANTA CRUZ DE TENERIFE,2020,MEDIOAMBIENTE,,"28.349565, -16.571129",28.349565,-16.571129,28.583479893617024,-16.33721410638298,28.583479893617024,-16.33721410638298
EVALUACIÓN AMBIENTAL SIMPLIFICADA DEL PROYECTO REDUCCIÓN DEL RIESGO DE DESPRENDIMIENTOS SOBRE LAS INSTALACIONES DEL TELEFÉRICO DEL TEIDE.,LA OROTAVA,2020,MEDIOAMBIENTE,,"28.351565, -16.569129",28.351565,-16.569129,28.497485,-16.423209,28.497485,-16.423209
ESTUDIO Y ASESORAMIENTO DE AVIFAUNA EN PUNTA DE ABONA (ARICO-TENERIFE).,ARICO,2020,MEDIOAMBIENTE,,"28.353565, -16.567129",28.353565,-16.567129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
ESTUDIO DE DETECCIÓN DE PIMELIA CANARIENSIS EN PUNTA DE ABONA (ARICO- TENERIFE).,ARICO,2020,MEDIOAMBIENTE,,"28.355565, -16.565129",28.355565,-16.565129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
"REDACCIÓN DE ESTUDIO DE IMPACTO AMBIENTAL ORDINARIA DEL PROYECTO DE PARQUE SAN JUAN. 4,7 MW (ARICO-TENERIFE)",ARICO,2019,MEDIOAMBIENTE,,"28.357565, -16.563129",28.357565,-16.563129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
"ESTUDIO DE FLORA Y FAUNA EN LA ZONA DE EL PALM-MAR, ARONA. INCLUYENDO INVENTARIO DE PIMELIA CANARIENSIS (ESPECIE EN PELIGRO DE EXTINCIÓN)",ARONA,2019,MEDIOAMBIENTE,,"28.359565, -16.561129",28.359565,-16.561129,28.319565,-16.601129,28.319565,-16.601129
ESTUDIO INICIAL PREVIO PARA EL DISEÑO DE UNA PROGRAMA DE CARRETERAS PAISAJÍSTICAS EN LA ISLA DE TENERIFE,SANTA CRUZ DE TENERIFE,2018,MEDIOAMBIENTE,,"28.361565, -16.559129",28.361565,-16.559129,28.583479893617024,-16.33721410638298,28.583479893617024,-16.33721410638298
"INFORME DE SEGUIMIENTO DE COLISIONES DE AVES Y QUIRÓPTEROS EN EL PARQUE EÓLICO TAGORO-RISCO BLANCO EN ARICO, TENERIFE” DESDE FINALES 2017. SIGUIENDO LAS DETERMINACIONES MARCADAS POR LOS CONDICIONANTES MEDIOAMBIENTALES DEL PROYECTO PARQUE EÓLICO “TAGORO RISCO BLANCO”, CONTENIDO EN EL ANEXO II DEL DECRETO 383/2015, DE 28 DE DICIEMBRE, POR EL QUE SE EXCLUYE A DETERMINADOS PROYECTOS DE PARQUES EÓLICOS DEL PROCEDIMIENTO DE EVALUACIÓN DEL IMPACTO AMBIENTAL (BOC Nº 253, DE JUEVES 31 DE DICIEMBRE DE 2015).",ARICO,2018,MEDIOAMBIENTE,,"28.363565, -16.557129",28.363565,-16.557129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
REDACCIÓN DE ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO DE PARQUE EÓLICO ABADES 1 (8 MW). ARICO. TENERIFE,ARICO,2018,MEDIOAMBIENTE,,"28.365565, -16.555129",28.365565,-16.555129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
"REDACCIÓN DE ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO DE PARQUE EÓLICO ABADES 2 (10,35 MW). ARICO. TENERIFE",ARICO,2018,MEDIOAMBIENTE,,"28.367565, -16.553129",28.367565,-16.553129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
"REDACCIÓN INFORME BOTÁNICO ESPECÍFICO DE LA CETERACH AUREUM (DORADILLA), GEORREFERENCIANDO EJEMPLARES EXISTENTES Y DEFINIENDO LAS MEDIDAS A DESARROLLAR PARA SU PROTECCIÓN Y CONTINUIDAD. ENTORNO DE CANTERA MONTES DE LUNA. VILLA DE MAZO. LA PALMA.",VILLA DE MAZO,2017,MEDIOAMBIENTE,,"28.674700, -17.858700",28.6747,-17.8587,28.6897,-17.843700000000002,28.6897,-17.843700000000002
DOCUMENTO DE EVALUACIÓN DE IMPACTO AMBIENTAL DEL PROYECTO DE URBANIZACIÓN CUEVA DEL POVO. GUÍA DE ISORA. TENERIFE,GUIA DE ISORA,2017,MEDIOAMBIENTE,,"28.369565, -16.551129",28.369565,-16.551129,28.473031666666667,-16.447662333333334,28.473031666666667,-16.447662333333334
REDACCIÓN DEL PROYECTO DE INSTALACIÓN DE UN GRUPO MÓVIL DE TRATAMIENTO DE ÁRIDOS PARA EL PROYECTO DE URBANIZACIÓN “SECTOR COSTA SAN JUAN”,GUIA DE ISORA,2017,MEDIOAMBIENTE,,"28.371565, -16.549129",28.371565,-16.549129,28.473031666666667,-16.447662333333334,28.473031666666667,-16.447662333333334
ESTUDIO DE VEGETACIÓN Y FAUNA. ÁMBITO CUEVA DEL POLVO. GUÍA DE ISORA. TENERIFE,GUIA DE ISORA,2017,MEDIOAMBIENTE,,"28.373565, -16.547129",28.373565,-16.547129,28.473031666666667,-16.447662333333334,28.473031666666667,-16.447662333333334
"INVENTARIO AMBIENTAL PARA FINCA LA ESTRELLA, POLÍGONO 4, PARCELA 273 (SAN MIGUEL DE ABONA, TENERIFE).",SAN MIGUEL DE ABONA,2017,MEDIOAMBIENTE,,"28.375565, -16.545129",28.375565,-16.545129,28.558565,-16.362129,28.558565,-16.362129
"REDACCIÓN DE ESTUDIO DE IMPACTO AMBIENTAL ORDINARIA DEL PROYECTO DE PARQUE EÓLICO BRISAS DEL MAR. 4,7 MW (ARICO-TENERIFE)",ARICO,2017,MEDIOAMBIENTE,,"28.377565, -16.543129",28.377565,-16.543129,28.485038684210526,-16.43565531578947,28.485038684210526,-16.43565531578947
